Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'VWAP_signal', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'Close']
Model Class Weight: {0: 1.1, -1: 1.1, 1: 1}
--------------------------------------------------
Highest % gain: ('SMCI.csv', {'final_portfolio_value': 39854.461192829855, 'Percent gain': 298.54461192829854, 'total_trades': 101})
Lowest % gain: ('EL.csv', {'final_portfolio_value': 3720.4434468680456, 'Percent gain': -62.79556553131954, 'total_trades': 120})
Number of stocks with a positive gain 265
Number of stocks with a negative gain 235
Sum of the Top 100 portfolios: 1,644,583.18
Sum of the Bottom 100 portfolios: 686,890.19
--------------------------------------------------
CPAY.csv: {'final_portfolio_value': 12464.749285078231, 'Percent gain': 24.64749285078231, 'total_trades': 106}
TRGP.csv: {'final_portfolio_value': 12451.878357203395, 'Percent gain': 24.518783572033954, 'total_trades': 91}
ACGL.csv: {'final_portfolio_value': 12422.892954070705, 'Percent gain': 24.22892954070705, 'total_trades': 116}
IT.csv: {'final_portfolio_value': 12398.589911999148, 'Percent gain': 23.985899119991483, 'total_trades': 112}
NI.csv: {'final_portfolio_value': 12362.660418833102, 'Percent gain': 23.626604188331022, 'total_trades': 98}
FMC.csv: {'final_portfolio_value': 12349.67869414798, 'Percent gain': 23.496786941479805, 'total_trades': 128}
CNP.csv: {'final_portfolio_value': 12336.184077206439, 'Percent gain': 23.361840772064387, 'total_trades': 85}
LDOS.csv: {'final_portfolio_value': 12326.251522233671, 'Percent gain': 23.262515222336717, 'total_trades': 93}
RTX.csv: {'final_portfolio_value': 12324.432420514519, 'Percent gain': 23.244324205145183, 'total_trades': 63}
CI.csv: {'final_portfolio_value': 12322.806907392858, 'Percent gain': 23.22806907392858, 'total_trades': 105}
SPG.csv: {'final_portfolio_value': 12282.580205283788, 'Percent gain': 22.82580205283788, 'total_trades': 124}
AJG.csv: {'final_portfolio_value': 12267.531877416572, 'Percent gain': 22.675318774165717, 'total_trades': 98}
CL.csv: {'final_portfolio_value': 12230.65452324593, 'Percent gain': 22.306545232459303, 'total_trades': 88}
PLD.csv: {'final_portfolio_value': 12197.806128346976, 'Percent gain': 21.97806128346976, 'total_trades': 59}
AAPL.csv: {'final_portfolio_value': 12196.607701302417, 'Percent gain': 21.96607701302417, 'total_trades': 99}
ECL.csv: {'final_portfolio_value': 12196.59178223803, 'Percent gain': 21.965917822380305, 'total_trades': 97}
DHI.csv: {'final_portfolio_value': 12185.896595747245, 'Percent gain': 21.858965957472446, 'total_trades': 81}
GE.csv: {'final_portfolio_value': 12131.145478494842, 'Percent gain': 21.31145478494842, 'total_trades': 123}
LYV.csv: {'final_portfolio_value': 12098.379878669763, 'Percent gain': 20.983798786697623, 'total_trades': 113}
GM.csv: {'final_portfolio_value': 12092.640789465893, 'Percent gain': 20.926407894658933, 'total_trades': 104}
ELV.csv: {'final_portfolio_value': 12089.822669238647, 'Percent gain': 20.89822669238647, 'total_trades': 99}
ALL.csv: {'final_portfolio_value': 12044.804945679658, 'Percent gain': 20.44804945679658, 'total_trades': 80}
VRSK.csv: {'final_portfolio_value': 12040.41020543595, 'Percent gain': 20.4041020543595, 'total_trades': 121}
JBL.csv: {'final_portfolio_value': 12032.076156421304, 'Percent gain': 20.320761564213043, 'total_trades': 88}
KMI.csv: {'final_portfolio_value': 12013.285365220992, 'Percent gain': 20.132853652209924, 'total_trades': 75}
CTRA.csv: {'final_portfolio_value': 11987.898234100718, 'Percent gain': 19.878982341007177, 'total_trades': 122}
HUBB.csv: {'final_portfolio_value': 11985.63280797434, 'Percent gain': 19.8563280797434, 'total_trades': 103}
PWR.csv: {'final_portfolio_value': 11958.373026086781, 'Percent gain': 19.583730260867814, 'total_trades': 113}
MRK.csv: {'final_portfolio_value': 11953.744711451702, 'Percent gain': 19.537447114517015, 'total_trades': 34}
BKNG.csv: {'final_portfolio_value': 11934.387727974352, 'Percent gain': 19.34387727974352, 'total_trades': 115}
COP.csv: {'final_portfolio_value': 11886.26160251738, 'Percent gain': 18.862616025173793, 'total_trades': 93}
JBHT.csv: {'final_portfolio_value': 11846.692398809675, 'Percent gain': 18.466923988096752, 'total_trades': 107}
BSX.csv: {'final_portfolio_value': 11840.406395174181, 'Percent gain': 18.40406395174181, 'total_trades': 118}
WYNN.csv: {'final_portfolio_value': 11834.96858144918, 'Percent gain': 18.349685814491806, 'total_trades': 132}
GD.csv: {'final_portfolio_value': 11832.866344632412, 'Percent gain': 18.328663446324118, 'total_trades': 63}
EMR.csv: {'final_portfolio_value': 11810.24856456321, 'Percent gain': 18.102485645632097, 'total_trades': 109}
UDR.csv: {'final_portfolio_value': 11792.82268502354, 'Percent gain': 17.928226850235404, 'total_trades': 109}
PTC.csv: {'final_portfolio_value': 11787.741025767733, 'Percent gain': 17.87741025767733, 'total_trades': 100}
CTLT.csv: {'final_portfolio_value': 11781.68278713561, 'Percent gain': 17.816827871356107, 'total_trades': 67}
V.csv: {'final_portfolio_value': 11773.26045665078, 'Percent gain': 17.7326045665078, 'total_trades': 109}
T.csv: {'final_portfolio_value': 11767.287757214624, 'Percent gain': 17.672877572146245, 'total_trades': 136}
NDAQ.csv: {'final_portfolio_value': 11764.995955570785, 'Percent gain': 17.649959555707845, 'total_trades': 62}
KR.csv: {'final_portfolio_value': 11741.02980644892, 'Percent gain': 17.410298064489197, 'total_trades': 112}
