Date,share_amount,bs_signal,cash_earned,holding,bankroll,cumulative_percentage,close
2020-08-11,44.93658142394281,-1,16997.74365357117,0.0,25867.708972399698,2728.7723738202963,380.3840637
2020-08-14,35.171284703766126,1,-15470.712723271483,35.171284703766126,10396.996249128215,1036.967165960765,437.3978271
2020-08-15,35.171284703766126,-1,15155.491001755046,0.0,25552.487250883263,2694.3011920699073,433.3549194
2020-09-23,42.71811868908624,1,-13796.021744811496,42.71811868908624,11756.465506071767,1185.6324026542475,321.1163025
2021-02-11,42.71811868908624,-1,75809.54110283015,0.0,87566.00660890191,9475.81131925222,1783.797974
2021-02-18,35.397286050682915,1,-68933.29643468327,35.397286050682915,18632.710174218635,1937.5865464725941,1937.449219
2021-02-19,35.397286050682915,-1,69027.64138531777,0.0,87660.3515595364,9486.128444369448,1960.164795
2021-02-24,38.39112017586506,1,-62768.242872381816,38.39112017586506,24892.108687154585,2622.0852629618444,1626.575684
2021-03-09,38.39112017586506,-1,71347.95461488122,0.0,96240.06330203581,10424.365826675687,1868.048828
2021-03-17,35.39711079098122,1,-64877.51253684429,35.39711079098122,31362.550765191518,3329.6627224223867,1823.449341
2021-03-28,35.39711079098122,-1,59559.8186259305,0.0,90922.36939112202,9842.847546735418,1691.355957
2021-04-07,27.33642337110769,1,-54161.56379110968,27.33642337110769,36760.80560001234,3919.9907704097923,1971.077271
2021-05-03,27.33642337110769,-1,93314.7063714399,0.0,130075.51197145224,14124.453165449424,3431.086182
2021-05-07,24.224053562736813,1,-84846.28335474108,24.224053562736813,45229.22861671116,4846.058135131627,3484.729004
2021-05-08,24.224053562736813,-1,94055.30730719984,0.0,139284.535923911,15131.509204867516,3902.647705
2021-05-22,37.062310427909075,1,-85519.52309986154,37.062310427909075,53765.01282404945,5779.491806446439,2295.705566
2021-06-08,37.062310427909075,-1,92825.63488413568,0.0,146590.64770818513,15930.47161771394,2517.438721
2021-06-22,44.786198328197486,1,-84401.69525397057,44.786198328197486,62188.95245421457,6700.69467485533,1874.950073
2021-07-01,44.786198328197486,-1,94177.1019535859,0.0,156366.05440780046,16999.464640800532,2113.605469
2021-07-05,38.749656915300676,1,-85630.23994172706,38.749656915300676,70735.8144660734,7635.339763363049,2198.58252
2021-07-19,38.749656915300676,-1,70057.57285975886,0.0,140793.38732583227,15296.510178340233,1817.296631
2021-07-29,26.61856746588807,1,-63704.497162464206,26.61856746588807,77088.89016336807,8330.082581154582,2380.956787
2021-08-09,26.61856746588807,-1,83892.22503850763,0.0,160981.11520187568,17504.14623017942,3167.856201
2021-08-20,23.08880693162075,1,-76280.82168073382,23.08880693162075,84700.29352114187,9162.43026093738,3286.935303
2021-09-06,23.08880693162075,-1,90238.13543828556,0.0,174938.42895942743,19030.453164134444,3928.379395
2021-09-21,29.52919771784604,1,-82049.5412351048,29.52919771784604,92888.88772432263,10057.896847757958,2764.431152
2021-11-02,29.52919771784604,-1,134698.55393311798,0.0,227587.44165744062,24787.904385963215,4584.798828
2022-01-25,49.61323693522986,1,-122466.07241960322,49.61323693522986,105121.3692378374,11395.584147611942,2455.935059
2022-02-11,49.61323693522986,-1,144500.83855128623,0.0,249622.20778912364,27197.523953100073,2927.383545
2022-02-23,50.46143983938484,1,-131376.79245692302,50.46143983938484,118245.41533220062,12830.768804439896,2590.359619
2022-03-29,50.46143983938484,-1,170800.90633903712,0.0,289046.3216712377,31508.76173341765,3401.987793
2022-05-15,72.00530988286982,1,-155284.74352629052,72.00530988286982,133761.57814494718,14527.544222751072,2145.706787
2022-05-28,72.00530988286982,-1,125938.28633865678,0.0,259699.86448360397,28299.569630226255,1757.941772
2022-06-11,74.47587748472345,1,-114502.5929832312,74.47587748472345,145197.2715003728,15778.098474533632,1529.663452
2022-06-26,74.47587748472345,-1,88901.7735044076,0.0,234099.0450047804,25499.98305044348,1199.831665
2022-06-29,73.1817777793762,1,-80834.7277987303,73.1817777793762,153264.3172060501,16660.273082842155,1098.943848
2022-07-24,73.1817777793762,-1,116457.3345883385,0.0,269721.6517943886,29395.50569133234,1599.476685
2022-07-25,72.88536101639447,1,-105883.97905542931,72.88536101639447,163837.67273895929,17816.526080043663,1445.383423
2022-08-04,72.88536101639447,-1,116618.63781778146,0.0,280456.31055674073,30569.39805967967,1608.205811
2022-09-20,79.6542858699037,1,-106030.6109861139,79.6542858699037,174425.69957062684,18974.383462258935,1324.388184
2022-09-27,79.6542858699037,-1,105410.66908939694,0.0,279836.3686600238,30501.60409645402,1330.127686
2022-10-16,72.99669277774152,1,-95842.06051895428,72.99669277774152,183994.3081410695,20020.76200350697,1306.296631
2022-11-06,72.99669277774152,-1,114184.14668145266,0.0,298178.4548225221,32507.40935234536,1572.234741
2022-11-08,77.49728846855791,1,-103817.54844057681,77.49728846855791,194360.9063819453,21154.40498462959,1332.835571
2022-11-11,77.49728846855791,-1,99247.411794563,0.0,293608.3181765083,32007.640458910635,1287.221069
2022-11-15,71.7247993834802,1,-90239.38089767059,71.7247993834802,203368.93727883772,22139.481358066347,1251.736206
