Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Parameters: {'learning_rate': 0.5, 'max_iter': 300, 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': 15, 'warm_start': False, 'random_state': 63, 'verbose': 0, 'tol': 1e-06}
--------------------------------------------------
Highest % gain: ('SMCI', {'final_portfolio_value': 76459.20660643035, 'Portfolio cumulative percent gain': 664.5920660643036, 'Stock percent gain': 1858.3561629258563, 'total_trades': 68, 'winning_trades': 47, 'losing_trades': 20, 'sharpe_ratio': 1.7790703284015563})
Lowest % gain: ('MTCH', {'final_portfolio_value': 2509.132849942746, 'Portfolio cumulative percent gain': -74.90867150057255, 'Stock percent gain': -68.4947816674355, 'total_trades': 47, 'winning_trades': 20, 'losing_trades': 26, 'sharpe_ratio': -1.511239122555197})
Number of stocks with a positive gain 305
Number of stocks with a negative gain 176
Win/Loss Ratio: 1.26
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
KDP: {'final_portfolio_value': 9893.283554628159, 'Portfolio cumulative percent gain': -1.0671644537184148, 'Stock percent gain': -13.422986771289176, 'total_trades': 23, 'winning_trades': 14, 'losing_trades': 8, 'sharpe_ratio': -1.4849893149614626}
J: {'final_portfolio_value': 12887.785507553019, 'Portfolio cumulative percent gain': 28.87785507553019, 'Stock percent gain': 16.65885661289204, 'total_trades': 13, 'winning_trades': 6, 'losing_trades': 6, 'sharpe_ratio': 1.1293991411344209}
PYPL: {'final_portfolio_value': 9388.39815703812, 'Portfolio cumulative percent gain': -6.116018429618798, 'Stock percent gain': -18.26496071964843, 'total_trades': 14, 'winning_trades': 10, 'losing_trades': 3, 'sharpe_ratio': -0.4540010529149795}
ADSK: {'final_portfolio_value': 11425.395491764202, 'Portfolio cumulative percent gain': 14.253954917642023, 'Stock percent gain': 2.3879107376740007, 'total_trades': 15, 'winning_trades': 8, 'losing_trades': 6, 'sharpe_ratio': 0.2641949849109327}
ECL: {'final_portfolio_value': 14418.964523558949, 'Portfolio cumulative percent gain': 44.18964523558948, 'Stock percent gain': 32.38218655032296, 'total_trades': 30, 'winning_trades': 22, 'losing_trades': 7, 'sharpe_ratio': 0.6146268110963283}
HLT: {'final_portfolio_value': 18175.454730276953, 'Portfolio cumulative percent gain': 81.75454730276954, 'Stock percent gain': 70.0131165011854, 'total_trades': 36, 'winning_trades': 28, 'losing_trades': 7, 'sharpe_ratio': 0.9667629101823781}
FDX: {'final_portfolio_value': 13709.208723495336, 'Portfolio cumulative percent gain': 37.09208723495336, 'Stock percent gain': 25.59440894228131, 'total_trades': 31, 'winning_trades': 24, 'losing_trades': 6, 'sharpe_ratio': 0.5405618010039774}
BLK: {'final_portfolio_value': 11579.52473402458, 'Portfolio cumulative percent gain': 15.795247340245806, 'Stock percent gain': 4.343303753026875, 'total_trades': 23, 'winning_trades': 13, 'losing_trades': 9, 'sharpe_ratio': 0.5719280961223978}
TJX: {'final_portfolio_value': 16999.174040958635, 'Portfolio cumulative percent gain': 69.99174040958634, 'Stock percent gain': 58.60185407761653, 'total_trades': 66, 'winning_trades': 45, 'losing_trades': 20, 'sharpe_ratio': 2.4384182564849732}
NEE: {'final_portfolio_value': 11177.204385128112, 'Portfolio cumulative percent gain': 11.772043851281124, 'Stock percent gain': 0.5517262425915959, 'total_trades': 22, 'winning_trades': 11, 'losing_trades': 10, 'sharpe_ratio': 0.2870321946193522}
