Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Class Weight: {0: 1.1, -1: 1.1, 1: 1}
--------------------------------------------------
Highest % gain: ('LLY', {'final_portfolio_value': 22672.819975666032, 'Portfolio cumulative percent gain': 126.72819975666032, 'Stock percent gain': 231.27694350685087, 'total_trades': 107, 'winning_trades': 68, 'losing_trades': 39, 'sharpe_ratio': 3.077763533383227})
Lowest % gain: ('ENPH', {'final_portfolio_value': 3109.3949732264923, 'Portfolio cumulative percent gain': -68.90605026773508, 'Stock percent gain': -64.4208001609092, 'total_trades': 63, 'winning_trades': 25, 'losing_trades': 37, 'sharpe_ratio': -4.025844455973758})
Number of stocks with a positive gain 278
Number of stocks with a negative gain 219
Win/Loss Ratio: 0.98
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
FITB: {'final_portfolio_value': 10685.416593240558, 'Portfolio cumulative percent gain': 6.854165932405577, 'Stock percent gain': -22.568173481653, 'total_trades': 107, 'winning_trades': 55, 'losing_trades': 51, 'sharpe_ratio': 0.15503854386697408}
AIG: {'final_portfolio_value': 15601.770119537472, 'Portfolio cumulative percent gain': 56.01770119537473, 'Stock percent gain': 26.932202355336223, 'total_trades': 86, 'winning_trades': 46, 'losing_trades': 39, 'sharpe_ratio': 1.1474384898081276}
LNT: {'final_portfolio_value': 11190.885613860886, 'Portfolio cumulative percent gain': 11.908856138608861, 'Stock percent gain': -16.090250759798217, 'total_trades': 97, 'winning_trades': 58, 'losing_trades': 38, 'sharpe_ratio': 0.26726371358014617}
PEG: {'final_portfolio_value': 13859.5202362709, 'Portfolio cumulative percent gain': 38.595202362709, 'Stock percent gain': 10.637982269605656, 'total_trades': 65, 'winning_trades': 35, 'losing_trades': 30, 'sharpe_ratio': 3.1642505138043515}
RMD: {'final_portfolio_value': 10874.917428794863, 'Portfolio cumulative percent gain': 8.749174287948627, 'Stock percent gain': -18.785511423501003, 'total_trades': 116, 'winning_trades': 59, 'losing_trades': 57, 'sharpe_ratio': 0.19052183559791305}
HAS: {'final_portfolio_value': 8742.831277275382, 'Portfolio cumulative percent gain': -12.571687227246183, 'Stock percent gain': -40.088530197705, 'total_trades': 139, 'winning_trades': 70, 'losing_trades': 69, 'sharpe_ratio': -0.21497298448476485}
ADM: {'final_portfolio_value': 11605.406360921566, 'Portfolio cumulative percent gain': 16.054063609215664, 'Stock percent gain': -11.27983062854846, 'total_trades': 74, 'winning_trades': 40, 'losing_trades': 33, 'sharpe_ratio': 0.3510422901292475}
JNJ: {'final_portfolio_value': 11418.08392304377, 'Portfolio cumulative percent gain': 14.180839230437705, 'Stock percent gain': -13.052374089349163, 'total_trades': 85, 'winning_trades': 47, 'losing_trades': 38, 'sharpe_ratio': 0.50341241290485}
O: {'final_portfolio_value': 10074.74795968808, 'Portfolio cumulative percent gain': 0.747479596880803, 'Stock percent gain': -26.43598404722643, 'total_trades': 124, 'winning_trades': 67, 'losing_trades': 56, 'sharpe_ratio': -0.09612568245275893}
WAT: {'final_portfolio_value': 10853.406669061893, 'Portfolio cumulative percent gain': 8.534066690618928, 'Stock percent gain': -18.557283456931483, 'total_trades': 103, 'winning_trades': 53, 'losing_trades': 50, 'sharpe_ratio': 0.2296707359444318}
EW: {'final_portfolio_value': 9771.302318605298, 'Portfolio cumulative percent gain': -2.2869768139470215, 'Stock percent gain': -28.923291922983264, 'total_trades': 105, 'winning_trades': 56, 'losing_trades': 49, 'sharpe_ratio': 0.04118591761092573}
MMM: {'final_portfolio_value': 9420.62238832043, 'Portfolio cumulative percent gain': -5.793776116795707, 'Stock percent gain': -32.054355454465274, 'total_trades': 128, 'winning_trades': 66, 'losing_trades': 61, 'sharpe_ratio': -0.5777567589170257}
UPS: {'final_portfolio_value': 8874.531812352798, 'Portfolio cumulative percent gain': -11.254681876472024, 'Stock percent gain': -37.13470002107397, 'total_trades': 116, 'winning_trades': 59, 'losing_trades': 57, 'sharpe_ratio': -0.3090763656782939}
TFX: {'final_portfolio_value': 8655.122067867076, 'Portfolio cumulative percent gain': -13.448779321329237, 'Stock percent gain': -39.20191262348649, 'total_trades': 121, 'winning_trades': 60, 'losing_trades': 60, 'sharpe_ratio': -0.09799203903883222}
