Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'VWAP_signal', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'Close']
Model Class Weight: {0: 1, -1: 1, 1: 1}
--------------------------------------------------
Highest % gain: ('STLD.csv', {'final_portfolio_value': 40503.71304055729, 'Percent gain': 305.0371304055729, 'total_trades': 94})
Lowest % gain: ('MTCH.csv', {'final_portfolio_value': 2760.906045990114, 'Percent gain': -72.39093954009887, 'total_trades': 125})
Number of stocks with a positive gain 269
Number of stocks with a negative gain 231
Sum of the Top 100 portfolios: 1,572,759.03
Sum of the Bottom 100 portfolios: 666,635.89
--------------------------------------------------
AZO.csv: {'final_portfolio_value': 12362.283169540491, 'Percent gain': 23.622831695404912, 'total_trades': 122}
STZ.csv: {'final_portfolio_value': 12350.554409030157, 'Percent gain': 23.505544090301573, 'total_trades': 110}
ZTS.csv: {'final_portfolio_value': 12301.174700535066, 'Percent gain': 23.01174700535066, 'total_trades': 84}
WTW.csv: {'final_portfolio_value': 12294.686237148177, 'Percent gain': 22.946862371481767, 'total_trades': 91}
BG.csv: {'final_portfolio_value': 12291.726474306603, 'Percent gain': 22.917264743066028, 'total_trades': 98}
DXCM.csv: {'final_portfolio_value': 12277.840888884179, 'Percent gain': 22.77840888884179, 'total_trades': 109}
FCX.csv: {'final_portfolio_value': 12259.787961712724, 'Percent gain': 22.597879617127237, 'total_trades': 125}
VRSK.csv: {'final_portfolio_value': 12258.602007378382, 'Percent gain': 22.58602007378382, 'total_trades': 104}
TER.csv: {'final_portfolio_value': 12241.708919893439, 'Percent gain': 22.41708919893439, 'total_trades': 116}
HII.csv: {'final_portfolio_value': 12210.704662893208, 'Percent gain': 22.107046628932075, 'total_trades': 90}
TYL.csv: {'final_portfolio_value': 12209.259616352094, 'Percent gain': 22.092596163520938, 'total_trades': 99}
MSI.csv: {'final_portfolio_value': 12146.08093407855, 'Percent gain': 21.46080934078551, 'total_trades': 100}
TSLA.csv: {'final_portfolio_value': 12122.011198910408, 'Percent gain': 21.22011198910408, 'total_trades': 93}
COR.csv: {'final_portfolio_value': 12093.97693222991, 'Percent gain': 20.939769322299107, 'total_trades': 132}
GOOGL.csv: {'final_portfolio_value': 12083.523887077214, 'Percent gain': 20.835238870772137, 'total_trades': 122}
AMGN.csv: {'final_portfolio_value': 12071.565071581628, 'Percent gain': 20.715650715816285, 'total_trades': 98}
