Buy/Sell Threshold 0.0066 within a look ahead day count: 1
Technical Indicators: ['SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'close']
Highest % gain: ('SMCI.csv', {'final_portfolio_value': 27736.38903095297, 'Percent gain': 177.3638903095297, 'total_trades': 127})
Lowest % gain: ('EL.csv', {'final_portfolio_value': 3076.7412402825457, 'Percent gain': -69.23258759717454, 'total_trades': 80})
Number of stocks with a positive gain 283
Number of stocks with a negative gain 217
Sum of the Top 100 portfolios: 1594192.1488344565
Sum of the Bottom 100 portfolios: 698527.2363158998
--------------------------------------------------
MGM.csv: {'final_portfolio_value': 12640.458346842051, 'Percent gain': 26.404583468420512, 'total_trades': 53}
CBOE.csv: {'final_portfolio_value': 12614.720850033196, 'Percent gain': 26.147208500331963, 'total_trades': 48}
TFC.csv: {'final_portfolio_value': 12577.051492053513, 'Percent gain': 25.770514920535135, 'total_trades': 69}
BIIB.csv: {'final_portfolio_value': 12530.464439690166, 'Percent gain': 25.304644396901658, 'total_trades': 79}
MOS.csv: {'final_portfolio_value': 12481.027744319646, 'Percent gain': 24.810277443196465, 'total_trades': 57}
AAPL.csv: {'final_portfolio_value': 12451.327602807967, 'Percent gain': 24.513276028079673, 'total_trades': 49}
TSCO.csv: {'final_portfolio_value': 12409.07295215735, 'Percent gain': 24.090729521573504, 'total_trades': 66}
WAT.csv: {'final_portfolio_value': 12407.720002379132, 'Percent gain': 24.07720002379132, 'total_trades': 102}
NEM.csv: {'final_portfolio_value': 12379.956882917762, 'Percent gain': 23.799568829177623, 'total_trades': 103}
NOW.csv: {'final_portfolio_value': 12354.62561455978, 'Percent gain': 23.5462561455978, 'total_trades': 62}
BRK-B.csv: {'final_portfolio_value': 12308.764081235473, 'Percent gain': 23.08764081235473, 'total_trades': 50}
BRO.csv: {'final_portfolio_value': 12276.616847889149, 'Percent gain': 22.766168478891487, 'total_trades': 56}
MRO.csv: {'final_portfolio_value': 12237.30137839751, 'Percent gain': 22.373013783975093, 'total_trades': 61}
SLB.csv: {'final_portfolio_value': 12176.501257119522, 'Percent gain': 21.76501257119522, 'total_trades': 71}
AEP.csv: {'final_portfolio_value': 12150.261116620935, 'Percent gain': 21.502611166209356, 'total_trades': 73}
VRTX.csv: {'final_portfolio_value': 12075.703488968866, 'Percent gain': 20.757034889688658, 'total_trades': 57}
FFIV.csv: {'final_portfolio_value': 12063.636661782746, 'Percent gain': 20.63636661782746, 'total_trades': 42}
EQIX.csv: {'final_portfolio_value': 12061.336788209395, 'Percent gain': 20.613367882093954, 'total_trades': 49}
HAL.csv: {'final_portfolio_value': 12061.129434978247, 'Percent gain': 20.611294349782476, 'total_trades': 94}
