iter	Passed	Remaining
986	101749	1340
987	101863	1237
988	101969	1134
989	102060	1030
990	102145	927
991	102247	824
992	102364	721
993	102472	618
994	102582	515
995	102695	412
996	102791	309
997	102880	206
998	102982	103
999	103075	0
