git sBuy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Class Weight: {0: 1.1, -1: 1.3, 1: 1}
--------------------------------------------------
Highest % gain: ('FSLR', {'final_portfolio_value': 33111.99455356214, 'Portfolio cumulative percent gain': 231.11994553562138, 'Stock percent gain': 199.9727744290788, 'total_trades': 115, 'winning_trades': 62, 'losing_trades': 52, 'sharpe_ratio': 3.0887389865872876})
Lowest % gain: ('DG', {'final_portfolio_value': 4022.8921774534624, 'Portfolio cumulative percent gain': -59.771078225465374, 'Stock percent gain': -46.01742723861949, 'total_trades': 99, 'winning_trades': 42, 'losing_trades': 57, 'sharpe_ratio': -1.515082083182573})
Number of stocks with a positive gain 298
Number of stocks with a negative gain 199
Win/Loss Ratio: 1.02
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
UDR: {'final_portfolio_value': 10180.14719515039, 'Portfolio cumulative percent gain': 1.8014719515038997, 'Stock percent gain': -25.478727584765053, 'total_trades': 117, 'winning_trades': 58, 'losing_trades': 58, 'sharpe_ratio': -0.054310031755909136}
AXON: {'final_portfolio_value': 25938.736310004697, 'Portfolio cumulative percent gain': 159.38736310004697, 'Stock percent gain': 132.79193996871763, 'total_trades': 107, 'winning_trades': 61, 'losing_trades': 46, 'sharpe_ratio': 1.6140857163892917}
LYV: {'final_portfolio_value': 11684.27314754036, 'Portfolio cumulative percent gain': 16.842731475403596, 'Stock percent gain': -9.689367600938382, 'total_trades': 121, 'winning_trades': 63, 'losing_trades': 58, 'sharpe_ratio': 0.6916334025916034}
MGM: {'final_portfolio_value': 13131.185105832283, 'Portfolio cumulative percent gain': 31.311851058322826, 'Stock percent gain': 5.140522062795424, 'total_trades': 127, 'winning_trades': 72, 'losing_trades': 55, 'sharpe_ratio': 0.44909091871110507}
INTU: {'final_portfolio_value': 14648.72039528593, 'Portfolio cumulative percent gain': 46.48720395285931, 'Stock percent gain': 20.51157598906521, 'total_trades': 132, 'winning_trades': 75, 'losing_trades': 56, 'sharpe_ratio': 0.6371270982155813}
APA: {'final_portfolio_value': 11981.187043424972, 'Portfolio cumulative percent gain': 19.811870434249723, 'Stock percent gain': -5.7280609468362185, 'total_trades': 137, 'winning_trades': 77, 'losing_trades': 60, 'sharpe_ratio': 0.49162384197247555}
KEYS: {'final_portfolio_value': 10219.425098261274, 'Portfolio cumulative percent gain': 2.194250982612739, 'Stock percent gain': -23.34262798760616, 'total_trades': 78, 'winning_trades': 46, 'losing_trades': 31, 'sharpe_ratio': 0.044054141675870157}
CF: {'final_portfolio_value': 12584.9530794067, 'Portfolio cumulative percent gain': 25.849530794066993, 'Stock percent gain': 0.40787752707604075, 'total_trades': 103, 'winning_trades': 47, 'losing_trades': 56, 'sharpe_ratio': 1.0215344081071733}
BIO: {'final_portfolio_value': 7586.470516344332, 'Portfolio cumulative percent gain': -24.135294836556678, 'Stock percent gain': -49.08600110830786, 'total_trades': 126, 'winning_trades': 60, 'losing_trades': 66, 'sharpe_ratio': -1.1199925151183767}
RJF: {'final_portfolio_value': 13060.874504344987, 'Portfolio cumulative percent gain': 30.608745043449872, 'Stock percent gain': 5.6585716459468145, 'total_trades': 101, 'winning_trades': 59, 'losing_trades': 42, 'sharpe_ratio': 0.8274291285121264}
RF: {'final_portfolio_value': 12168.79485442305, 'Portfolio cumulative percent gain': 21.687948544230494, 'Stock percent gain': -3.073597316434819, 'total_trades': 128, 'winning_trades': 73, 'losing_trades': 54, 'sharpe_ratio': 0.5726182131269235}
